Close,High,Low,Open,Volume
^KLSE,^KLSE,^KLSE,^KLSE,^KLSE
925.2100219726562,927.8400268554688,924.6799926757812,926.4600219726562,79578400
928.8800048828125,930.7000122070312,925.5599975585938,925.5599975585938,83327200
928.4299926757812,930.9500122070312,927.469970703125,929.010009765625,59912200
928.489990234375,931.6599731445312,926.4600219726562,926.75,75899200
927.1199951171875,931.4299926757812,925.9000244140625,928.510009765625,60504400
925.5900268554688,929.1199951171875,925.5900268554688,927.5499877929688,56704600
924.27001953125,929.22998046875,923.6500244140625,926.47998046875,56790600
922.6400146484375,926.5800170898438,920.5800170898438,923.9600219726562,66272400
914.1699829101562,922.3300170898438,909.5399780273438,922.3300170898438,122799200
911.6900024414062,915.1400146484375,909.7999877929688,914.7999877929688,103921200
909.5800170898438,914.239990234375,907.3699951171875,911.9000244140625,87286000
904.7000122070312,912.4400024414062,904.4500122070312,909.6799926757812,81054000
904.75,906.8699951171875,902.5999755859375,906.0399780273438,83695400
905.2100219726562,907.7899780273438,903.2999877929688,903.3300170898438,63933400
904.4600219726562,909.1400146484375,903.1900024414062,905.530029296875,91130400
905.7899780273438,906.7000122070312,902.3900146484375,903.8599853515625,75228400
910.760009765625,911.4299926757812,905.3800048828125,905.3800048828125,61299800
913.9199829101562,915.5,910.510009765625,910.530029296875,53213800
911.530029296875,915.8699951171875,907.7999877929688,914.7000122070312,124600800
909.0999755859375,911.5999755859375,906.489990234375,911.4299926757812,57068600
906.5499877929688,909.469970703125,903.2999877929688,909.469970703125,62048200
901.0900268554688,907.0999755859375,898.3800048828125,905.4400024414062,105771600
898.3499755859375,901.3200073242188,894.52001953125,900.0999755859375,75359600
896.1900024414062,898.22998046875,891.9400024414062,897.9199829101562,75446800
894.3300170898438,897.3099975585938,893.4000244140625,896.02001953125,80941200
896.7999877929688,896.7999877929688,892.9500122070312,893.2899780273438,60898600
894.2999877929688,896.6500244140625,891.72998046875,896.4400024414062,70858400
901.719970703125,903.0499877929688,895.780029296875,895.780029296875,66154200
906.239990234375,908.719970703125,901.5999755859375,901.5999755859375,67254800
902.5399780273438,909.5599975585938,902.1500244140625,906.739990234375,64374800
902.9000244140625,905.0599975585938,901.760009765625,902.5,64262200
903.6500244140625,904.7100219726562,900.9400024414062,903.4099731445312,63281600
904.280029296875,904.4299926757812,900.0900268554688,904.1699829101562,59116600
900.1400146484375,904.3400268554688,898.219970703125,904.1799926757812,52757200
898.6300048828125,902.0999755859375,895.4199829101562,900.8300170898438,85684600
896.1300048828125,900.0700073242188,891.3099975585938,898.969970703125,94865600
887.7999877929688,895.6099853515625,885.6400146484375,895.4500122070312,109014600
885.1400146484375,889.6799926757812,883.0,888.0,82238800
885.47998046875,887.6099853515625,884.6300048828125,884.719970703125,61009200
886.469970703125,887.1500244140625,884.8800048828125,885.27001953125,85887600
891.6699829101562,894.0399780273438,885.6900024414062,885.780029296875,88922000
896.1099853515625,896.2000122070312,891.77001953125,891.77001953125,51043400
898.2999877929688,899.0599975585938,895.0999755859375,895.9400024414062,62140200
897.010009765625,900.75,895.510009765625,898.4099731445312,46522800
898.27001953125,901.5900268554688,898.0599975585938,898.0599975585938,59134200
898.7999877929688,901.47998046875,897.47998046875,898.780029296875,64280800
894.97998046875,900.6500244140625,893.9600219726562,898.8499755859375,61566200
893.3699951171875,895.9600219726562,890.469970703125,895.1500244140625,54465200
895.8599853515625,896.3400268554688,893.5499877929688,893.5999755859375,37675200
896.0800170898438,897.030029296875,893.4199829101562,895.1500244140625,56106000
894.6500244140625,898.3699951171875,892.8499755859375,895.7899780273438,60081400
895.8499755859375,895.8499755859375,890.4000244140625,894.6699829101562,52104800
892.1300048828125,893.5700073242188,890.0900268554688,891.6400146484375,39075600
894.510009765625,894.510009765625,891.0599975585938,892.4600219726562,28286400
895.5499877929688,896.1099853515625,892.2999877929688,892.8200073242188,54534400
900.489990234375,900.489990234375,894.47998046875,895.239990234375,54872600
899.7899780273438,902.5599975585938,895.8400268554688,899.0399780273438,50709000
892.8499755859375,899.8499755859375,891.0399780273438,899.1799926757812,21876000
897.1300048828125,897.8800048828125,892.6300048828125,893.0900268554688,44177800
906.6599731445312,908.7100219726562,897.3400268554688,897.3400268554688,85141600
911.6699829101562,912.0700073242188,906.5999755859375,906.5999755859375,89850400
913.7999877929688,916.0,912.4000244140625,913.6500244140625,101700800
909.5900268554688,915.1400146484375,908.6599731445312,913.1599731445312,105306800
911.1599731445312,916.9600219726562,910.4099731445312,910.47998046875,136643200
911.9000244140625,914.2899780273438,908.5800170898438,910.8300170898438,87413600
906.530029296875,913.1799926757812,905.5999755859375,911.8099975585938,79542800
907.52001953125,911.030029296875,905.7899780273438,906.4400024414062,97132000
901.3200073242188,907.3800048828125,900.4000244140625,902.280029296875,97384600
902.7000122070312,906.9500122070312,902.22998046875,902.2899780273438,72242000
905.4099731445312,907.4299926757812,902.9600219726562,904.1900024414062,92847200
902.510009765625,904.5900268554688,898.6099853515625,903.4000244140625,69342400
906.97998046875,908.9299926757812,903.530029296875,903.530029296875,84478400
909.77001953125,912.280029296875,906.5999755859375,906.6199951171875,91010400
913.1400146484375,913.1400146484375,909.7000122070312,910.1699829101562,97400800
914.010009765625,915.7999877929688,911.7899780273438,912.6900024414062,90419200
927.8499755859375,927.8499755859375,915.6099853515625,915.6099853515625,194484400
929.3900146484375,931.0,925.8599853515625,928.3800048828125,142145600
923.8400268554688,930.6500244140625,920.1199951171875,929.8499755859375,117753200
918.9199829101562,924.4500122070312,915.8599853515625,923.8900146484375,129027200
920.6300048828125,923.1300048828125,918.97998046875,919.4400024414062,123199400
920.3099975585938,923.8499755859375,919.6799926757812,920.4199829101562,101902800
922.77001953125,926.1699829101562,921.3699951171875,923.239990234375,90057600
925.510009765625,925.510009765625,922.25,923.1300048828125,106740800
927.1699829101562,931.0999755859375,923.5499877929688,925.8200073242188,126056000
928.0999755859375,931.010009765625,926.5,927.22998046875,103512000
926.469970703125,929.7000122070312,925.3900146484375,928.5999755859375,91068400
925.1799926757812,928.8900146484375,923.7100219726562,927.9500122070312,87352800
925.6699829101562,927.6799926757812,922.6900024414062,924.0800170898438,94415600
924.4000244140625,927.7000122070312,923.9199829101562,926.0999755859375,87896400
927.510009765625,927.510009765625,924.3200073242188,924.9500122070312,76611200
924.9099731445312,928.8699951171875,922.989990234375,927.489990234375,78411800
928.6599731445312,928.8200073242188,924.9199829101562,924.9199829101562,77466200
